id,node_1,node_2
329,853,464
330,368,100
331,622,760
332,630,556
333,144,107
334,519,941
335,661,831
336,730,972
337,331,49
338,482,774
339,451,342
340,476,860
341,616,3
342,855,364
343,825,67
344,381,209
345,974,411
346,68,647
347,192,555
348,679,725
349,502,140
350,890,286
351,266,620
352,91,69
353,874,966
354,184,940
355,14,760
356,436,708
357,783,296
358,886,672
359,36,330
360,10,742
361,587,595
362,383,821
363,733,883
364,877,523
365,28,676
366,487,912
367,31,927
368,145,583
369,769,151
370,740,886
371,162,658
372,908,290
373,487,686
374,980,315
375,391,214
376,937,738
377,629,120
378,60,313
379,614,71
380,995,828
381,898,708
382,213,1000
383,22,292
384,205,625
385,588,460
386,393,889
387,405,952
388,710,733
389,718,518
390,217,26
391,835,479
392,560,156
393,937,402
394,100,674
395,621,74
396,3,707
397,457,453
398,917,896
399,104,717
400,345,549
401,157,611
402,89,351
403,52,749
404,191,581
405,992,766
406,398,1
407,378,124
408,973,363
409,406,775
410,878,81
411,535,694
412,838,85
413,213,188
414,980,34
415,218,477
416,843,239
417,469,377
418,154,560
419,543,932
420,605,343
421,952,359
422,941,791
423,797,262
424,559,839
425,530,321
426,607,336
427,218,650
428,575,875
429,947,521
430,976,852
431,726,408
432,889,277
433,399,107
434,146,121
435,538,968
436,178,916
437,162,466
438,674,743
439,793,947
440,319,776
441,60,600
442,217,289
443,982,543
444,375,464
445,261,626
446,793,900
447,798,123
448,86,324
449,777,686
450,349,46
451,927,254
452,778,256
453,263,511
454,261,945
455,649,517
456,81,539
457,987,199
458,23,214
459,710,830
460,621,2
461,842,422
462,783,826
463,612,686
464,494,617
465,859,518
466,11,2
467,429,530
468,635,293
469,948,320
470,740,771
471,414,642
472,356,949
473,474,388
474,17,416
475,69,664
476,915,593
477,377,668
478,72,108
479,414,106
480,75,682
481,859,824
482,686,564
483,538,365
484,215,23
485,697,763
486,65,954
487,130,664
488,182,883
489,654,107
490,201,352
491,202,172
492,228,287
493,466,967
494,555,254
495,196,933
496,332,857
497,165,477
498,471,731
499,618,855
500,46,463
501,491,398
502,677,686
503,393,866
504,269,969
505,228,488
506,993,829
507,180,606
508,533,963
509,166,977
510,756,591
511,793,923
512,376,44
513,578,485
514,444,314
515,767,512
516,857,335
517,182,281
518,9,970
519,421,174
520,211,750
521,241,421
522,517,386
523,181,281
524,899,290
525,795,292
526,198,68
527,768,606
528,767,771
529,691,279
530,12,110
531,629,439
532,908,779
533,656,31
534,4,923
535,519,583
536,428,18
537,913,184
538,516,339
539,401,72
540,943,373
541,525,547
542,133,796
543,220,177
544,246,526
545,278,448
546,451,939
547,99,871
548,212,458
549,111,523
550,341,282
551,26,970
552,755,905
553,858,786
554,275,848
555,665,156
556,656,766
557,731,501
558,106,121
559,479,359
560,67,515
561,345,300
562,158,903
563,718,220
564,712,288
565,511,552
566,318,980
567,348,796
568,504,247
569,831,304
570,957,681
571,458,617
572,429,648
573,360,486
574,457,332
575,121,363
576,316,374
577,714,556
578,623,933
579,524,505
580,185,893
581,938,433
582,842,583
583,958,996
584,713,990
585,530,0
586,974,650
587,782,932
588,97,41
589,25,956
590,569,1001
591,867,517
592,839,624
593,317,610
594,89,479
595,145,941
596,973,5
597,690,975
598,778,600
599,76,8
600,432,523
601,54,943
602,635,90
603,255,410
604,834,135
605,302,145
606,431,785
607,103,899
608,596,342
609,393,434
610,639,625
611,672,856
612,139,857
613,982,387
614,381,805
615,267,310
616,816,97
617,630,693
618,63,408
619,422,884
620,843,865
621,670,431
622,176,943
623,967,225
624,196,157
625,73,853
626,886,500
627,212,336
628,286,45
629,686,1003
630,345,702
631,44,951
632,940,374
633,331,164
634,768,417
635,110,666
636,607,475
637,756,690
638,414,848
639,632,169
640,107,957
641,488,221
642,979,914
643,76,668
644,457,518
645,119,139
646,100,617
647,862,1
648,160,281
649,193,13
650,754,101
651,575,605
652,568,643
653,435,446
654,962,296
655,495,225
656,644,418
657,735,998
658,798,645
659,27,771
660,201,459
661,198,178
662,92,216
663,527,155
664,354,187
665,48,942
666,906,491
667,636,270
668,329,369
669,975,830
670,324,937
671,70,946
672,443,240
673,792,620
674,477,932
675,701,463
676,46,479
677,403,24
678,397,906
679,664,619
680,142,852
681,551,953
682,764,284
683,401,810
684,430,154
685,161,69
686,885,645
687,121,888
688,138,605
689,97,640
690,512,499
691,502,942
692,786,59
693,808,110
694,832,803
695,858,470
696,458,40
697,630,90
698,676,478
699,618,880
700,86,229
701,232,121
702,446,321
703,270,30
704,969,370
705,864,115
706,630,976
707,232,390
708,710,557
709,19,821
710,867,80
711,65,888
712,694,1001
713,779,701
714,788,644
715,152,546
716,212,986
717,115,945
718,1001,628
719,448,808
720,406,639
721,159,759
722,539,825
723,394,724
724,487,174
725,774,656
726,739,707
727,100,501
728,696,301
729,370,637
730,988,1003
731,384,996
732,597,756
733,611,281
734,668,561
735,612,743
736,655,861
737,336,890
738,319,199
739,667,600
740,175,760
741,818,843
742,505,655
743,534,90
744,353,756
745,10,226
746,454,358
747,995,121
748,179,682
749,943,520
750,360,574
751,793,902
752,983,248
753,550,6
754,682,440
755,90,792
756,734,983
757,115,134
758,76,200
759,26,908
760,279,348
761,693,764
762,938,478
763,160,658
764,126,55
765,669,91
766,889,336
767,753,309
768,264,904
769,162,592
770,253,846
771,479,866
772,806,540
773,234,449
774,59,788
775,280,909
776,18,204
777,784,385
778,202,438
779,861,295
780,653,815
781,515,712
782,981,33
783,328,450
784,684,909
785,261,104
786,259,217
787,429,826
788,409,977
789,651,908
790,956,489
791,801,484
792,810,399
793,907,380
794,917,323
795,0,991
796,444,278
797,300,262
798,875,989
799,1002,879
800,196,209
801,729,434
802,272,538
803,86,626
804,409,69
805,621,641
806,757,557
807,460,296
808,739,729
809,277,619
810,57,455
811,304,189
812,479,269
813,791,696
814,659,914
815,941,331
816,335,135
817,904,768
818,31,408
819,695,549
820,30,628
821,737,340
822,208,298
823,995,44
824,712,209
825,502,637
826,277,706
827,548,811
828,742,7
829,923,215
830,978,568
831,621,179
832,463,285
833,16,981
834,86,515
835,772,990
836,206,693
837,794,702
838,905,433
839,925,946
840,920,264
841,60,139
842,490,720
843,649,247
844,258,513
845,417,482
846,374,898
847,332,864
848,440,420
849,263,743
850,354,148
851,273,421
852,234,747
853,567,259
854,364,680
855,356,766
856,381,487
857,955,286
858,296,135
859,654,800
860,506,119
861,94,654
862,383,498
863,519,420
864,216,262
865,837,717
866,640,131
867,421,593
868,60,188
869,357,301
870,970,594
871,208,453
872,451,739
873,285,48
874,311,164
875,219,300
876,126,811
877,624,565
878,530,985
879,268,928
880,890,568
881,855,885
882,461,562
883,75,303
884,190,573
885,801,933
886,853,114
887,213,730
888,811,639
889,26,216
890,439,905
891,769,614
892,664,313
893,419,205
894,500,450
895,865,179
896,393,76
897,23,242
898,880,740
899,985,209
900,682,641
901,393,826
902,257,663
903,54,538
904,33,648
905,0,734
906,190,724
907,43,36
908,520,68
909,774,403
910,13,711
911,873,815
912,689,990
913,330,597
914,99,105
915,938,862
916,27,317
917,3,25
918,790,63
919,656,840
920,456,363
921,872,922
922,353,252
923,266,548
924,801,89
925,895,92
926,297,291
927,26,469
928,85,676
929,507,406
930,944,1000
931,330,713
932,34,113
933,285,450
934,289,651
935,143,294
936,241,909
937,22,624
938,351,776
939,240,408
940,484,917
941,225,660
942,216,233
943,980,406
944,685,261
945,694,725
946,686,838
947,982,104
948,587,908
949,317,413
950,396,843
951,349,162
952,141,595
953,651,682
954,35,793
955,981,867
956,856,137
957,954,455
958,118,755
959,81,739
960,196,174
961,926,191
962,320,72
963,805,143
964,638,355
965,443,742
966,890,442
967,246,585
968,355,577
969,68,62
970,602,91
971,943,574
972,468,617
973,583,428
974,151,843
975,972,127
976,678,481
977,534,104
978,485,432
979,992,979
980,167,666
981,245,731
982,554,953
983,9,937
984,492,354
985,380,704
986,735,537
987,763,254
988,495,209
989,733,745
990,752,983
991,107,821
992,985,554
993,988,152
994,671,914
995,885,161
996,179,804
997,104,746
998,706,983
999,962,1003
1000,798,934
1001,359,956
1002,462,966
1003,484,576
1004,290,646
1005,115,876
1006,358,147
1007,309,646
1008,639,920
1009,846,874
1010,324,149
1011,739,970
1012,246,974
1013,957,499
1014,345,791
1015,389,327
1016,404,713
1017,27,891
1018,705,847
1019,448,895
1020,596,152
1021,100,862
1022,281,225
1023,230,783
1024,96,137
1025,196,764
1026,117,656
1027,75,426
1028,660,891
1029,126,484
1030,744,48
1031,643,689
1032,295,897
1033,759,551
1034,627,933
1035,942,315
1036,144,444
1037,974,142
1038,72,754
1039,485,17
1040,72,912
1041,666,793
1042,591,699
1043,853,1003
1044,639,62
1045,1003,705
1046,637,514
1047,237,263
1048,429,253
1049,935,651
1050,261,160
1051,932,377
1052,365,801
1053,341,913
1054,416,827
1055,893,731
1056,630,883
1057,6,27
1058,741,114
1059,856,671
1060,404,357
1061,945,669
1062,101,282
1063,508,332
1064,610,250
1065,702,802
1066,474,859
1067,909,631
1068,644,334
1069,72,643
1070,837,34
1071,25,133
1072,563,133
1073,867,855
1074,116,183
1075,145,306
1076,742,917
1077,258,153
1078,195,503
1079,955,32
1080,561,875
1081,76,71
1082,665,984
1083,404,200
1084,717,599
1085,318,334
1086,615,221
1087,825,466
1088,461,601
1089,352,298
1090,335,751
1091,404,527
1092,160,2
1093,547,393
1094,462,911
1095,362,172
1096,60,879
1097,829,567
1098,614,57
1099,800,788
1100,653,953
1101,856,503
1102,716,839
1103,821,9
1104,645,577
1105,664,23
1106,467,332
1107,880,811
1108,920,563
1109,371,374
1110,246,208
1111,212,87
1112,577,677
1113,357,608
1114,700,151
1115,113,921
1116,667,767
1117,824,541
1118,544,298
1119,911,309
1120,447,590
1121,234,379
1122,899,800
1123,329,453
1124,494,221
1125,721,807
1126,973,282
1127,61,496
1128,275,951
1129,638,460
1130,401,674
1131,166,850
1132,945,223
1133,653,445
1134,600,818
1135,350,66
1136,632,678
1137,785,597
1138,532,115
1139,116,952
1140,832,91
1141,170,444
1142,216,308
1143,564,314
1144,39,840
1145,229,910
1146,840,721
1147,638,472
1148,568,404
1149,391,875
1150,236,813
1151,932,20
1152,339,884
1153,42,12
1154,512,344
1155,885,504
1156,794,504
1157,171,985
1158,9,276
1159,341,954
1160,66,149
1161,144,221
1162,642,455
1163,204,571
1164,721,127
1165,716,67
1166,684,461
1167,50,657
1168,656,114
1169,21,53
1170,976,818
1171,735,351
1172,476,165
1173,921,228
1174,959,428
1175,85,437
1176,181,876
1177,882,739
1178,667,252
1179,324,840
1180,686,857
1181,718,364
1182,20,644
1183,43,574
1184,841,271
1185,231,434
1186,605,40
1187,634,399
1188,173,174
1189,482,555
1190,470,534
1191,756,887
1192,817,423
1193,681,936
1194,103,162
1195,113,292
1196,998,204
1197,759,923
1198,715,745
1199,235,794
1200,708,229
1201,831,394
1202,184,683
1203,211,563
1204,962,1000
1205,678,394
1206,167,522
1207,282,911
1208,653,985
1209,938,444
1210,432,225
1211,738,66
1212,500,800
1213,451,895
1214,979,346
1215,22,709
1216,483,94
1217,31,383
1218,656,390
1219,447,408
1220,531,569
1221,521,259
1222,503,18
1223,313,788
1224,244,919
1225,347,593
1226,54,990
1227,580,322
1228,16,889
1229,542,415
1230,722,849
1231,242,589
1232,779,199
1233,656,393
1234,597,734
1235,489,54
1236,113,500
1237,814,493
1238,461,769
1239,464,966
1240,223,257
1241,720,767
1242,67,953
1243,647,126
1244,776,121
1245,840,141
1246,833,617
1247,253,65
1248,246,298
1249,886,324
1250,996,866
1251,848,532
1252,61,582
1253,368,771
1254,476,815
1255,136,335
1256,507,294
1257,511,794
1258,931,67
1259,41,217
1260,427,515
1261,116,862
1262,9,793
1263,260,224
1264,220,341
1265,353,613
1266,788,510
1267,376,712
1268,298,952
1269,379,901
1270,546,683
1271,428,413
1272,856,92
1273,799,568
1274,763,92
1275,899,416
1276,130,251
1277,874,884
1278,38,217
1279,961,214
1280,125,293
1281,86,518
1282,735,850
1283,827,258
1284,592,379
1285,143,170
1286,657,444
1287,29,609
1288,884,811
1289,108,275
1290,901,31
1291,3,268
1292,943,560
1293,391,938
1294,714,24
1295,752,86
1296,435,303
1297,204,269
1298,92,513
1299,486,790
1300,803,697
1301,479,219
1302,632,397
1303,314,25
1304,943,801
1305,892,609
1306,1002,339
1307,794,751
1308,234,528
1309,372,165
1310,193,268
1311,762,297
1312,548,77
1313,712,417
1314,924,102
1315,425,722
1316,812,910
1317,52,608
1318,753,285
1319,537,784
1320,36,289
1321,563,817
1322,554,265
1323,923,544
1324,939,826
1325,913,606
1326,440,38
1327,989,714
1328,828,952
1329,42,774
1330,0,274
1331,657,468
1332,661,707
1333,619,364
1334,833,699
1335,94,194
1336,604,7
1337,350,720
1338,869,913
1339,394,87
1340,914,241
1341,604,778
1342,641,874
1343,456,426
1344,66,460
1345,243,764
1346,1000,925
1347,716,108
1348,426,870
1349,366,565
1350,731,129
1351,303,967
1352,651,300
1353,814,789
1354,510,595
1355,988,613
1356,118,841
1357,213,502
1358,180,610
1359,60,568
1360,931,964
1361,629,459
1362,671,65
1363,138,719
1364,593,436
1365,351,752
1366,28,444
1367,528,530
1368,325,503
1369,977,504
1370,105,92
1371,216,630
1372,916,855
1373,728,109
1374,75,905
1375,772,205
1376,440,836
1377,651,629
1378,834,973
1379,403,869
1380,850,685
1381,532,785
1382,401,276
1383,623,432
1384,346,605
1385,446,201
1386,563,948
1387,996,525
1388,90,141
1389,483,728
1390,774,963
1391,21,119
1392,742,303
1393,470,280
1394,572,347
1395,15,666
1396,557,426
1397,30,675
1398,553,635
1399,445,836
1400,48,533
1401,886,122
1402,137,88
1403,467,320
1404,771,37
1405,81,973
1406,50,655
1407,780,209
1408,162,189
1409,747,326
1410,210,611
1411,711,299
1412,1,689
1413,189,201
1414,768,199
1415,788,777
1416,681,926
1417,432,388
1418,399,873
1419,878,437
1420,290,164
1421,47,96
1422,594,36
1423,222,797
1424,331,862
1425,380,459
1426,414,391
1427,68,504
1428,322,666
1429,436,953
1430,733,72
1431,591,964
1432,532,821
1433,16,209
1434,151,679
1435,57,125
1436,590,432
1437,618,833
1438,507,683
1439,66,394
1440,707,689
1441,966,850
1442,99,949
1443,241,376
1444,869,262
1445,179,277
1446,970,854
1447,651,11
1448,961,950
1449,790,494
1450,520,577
1451,22,350
1452,468,545
1453,599,854
1454,46,657
1455,831,82
1456,733,749
1457,341,387
1458,7,436
1459,362,6
1460,909,349
1461,543,298
1462,959,267
1463,419,170
1464,761,69
1465,678,909
1466,926,737
1467,62,84
1468,883,176
1469,722,674
1470,146,850
1471,803,517
1472,994,1003
1473,35,836
1474,836,704
1475,925,564
1476,712,458
1477,522,18
1478,527,960
1479,270,135
1480,406,975
1481,403,999
1482,15,407
1483,957,432
1484,756,509
1485,507,478
1486,129,667
1487,241,573
1488,885,696
1489,134,343
1490,902,836
1491,456,557
1492,406,549
1493,911,719
1494,101,236
1495,699,946
1496,801,845
1497,660,265
1498,398,964
1499,242,866
1500,423,375
1501,583,868
1502,655,532
1503,917,770
1504,924,719
1505,741,260
1506,996,454
1507,78,768
1508,96,4
1509,671,602
1510,335,369
1511,4,170
1512,411,10
1513,930,798
1514,301,532
1515,182,756
1516,728,598
1517,207,788
1518,925,628
1519,591,907
1520,341,848
1521,864,214
1522,4,913
1523,994,45
1524,336,340
1525,422,406
1526,9,539
1527,454,979
1528,683,434
1529,299,402
1530,118,759
1531,38,200
1532,249,637
1533,986,801
1534,910,753
1535,800,915
1536,561,144
1537,822,267
1538,560,169
1539,886,413
1540,49,12
1541,363,860
1542,615,732
1543,265,119
1544,416,799
1545,466,713
1546,402,964
1547,161,153
1548,14,128
1549,210,87
1550,263,449
1551,169,922
1552,522,811
1553,212,997
1554,569,779
1555,881,946
1556,871,168
1557,185,142
1558,717,576
1559,959,621
1560,638,63
1561,500,569
1562,462,152
1563,798,858
1564,779,432
1565,175,939
1566,290,492
1567,678,484
1568,739,176
1569,931,409
1570,457,593
1571,643,682
1572,44,562
1573,113,632
1574,455,428
1575,775,72
1576,726,11
1577,186,877
1578,247,369
1579,501,47
1580,872,178
1581,583,558
1582,98,857
1583,492,728
1584,684,660
1585,157,188
1586,99,951
1587,142,264
1588,85,289
1589,946,542
1590,941,1003
1591,318,1003
1592,187,746
1593,590,829
1594,661,30
1595,206,47
1596,93,459
1597,466,480
1598,756,934
1599,328,572
1600,692,344
1601,611,129
1602,574,914
1603,979,681
1604,166,638
1605,192,679
1606,675,382
1607,107,713
1608,318,884
1609,788,418
1610,575,117
1611,656,757
1612,866,164
1613,56,205
1614,232,538
1615,46,28
1616,624,295
1617,447,230
1618,672,718
1619,547,560
1620,939,759
1621,629,116
1622,729,302
1623,17,440
1624,477,76
1625,735,943
1626,438,574
1627,586,548
1628,261,575
1629,732,826
1630,541,452
1631,563,713
1632,167,524
1633,94,487
1634,985,959
1635,503,444
1636,572,423
1637,763,482
1638,685,134
1639,143,956
1640,233,23
1641,620,530
1642,852,643
1643,131,679
1644,639,988
1645,776,97
1646,295,850
1647,81,153
1648,616,964
1649,513,633
1650,291,100
1651,428,865
1652,742,155
1653,649,804
1654,294,199
1655,56,162
1656,187,901
1657,353,764
1658,646,542
1659,646,885
1660,772,495
1661,795,387
1662,484,662
1663,989,530
1664,798,654
1665,909,629
1666,913,780
1667,28,701
1668,320,608
1669,447,839
1670,866,497
1671,451,104
1672,196,875
1673,237,602
1674,3,21
1675,916,30
1676,647,845
1677,326,576
1678,827,781
1679,731,140
1680,138,143
1681,554,945
1682,859,276
1683,699,734
1684,603,911
1685,242,813
1686,874,603
1687,593,503
1688,704,357
1689,311,978
1690,848,524
1691,722,499
1692,557,894
1693,42,458
1694,926,530
1695,775,345
1696,487,360
1697,661,141
1698,313,75
1699,888,101
1700,45,708
1701,485,452
1702,94,448
1703,838,824
1704,431,243
1705,396,941
1706,203,225
1707,197,825
1708,143,723
1709,501,783
1710,440,254
1711,45,872
1712,5,946
1713,916,494
1714,262,327
1715,15,598
1716,727,591
1717,996,524
1718,411,150
1719,826,293
1720,96,44
1721,708,580
1722,519,281
1723,66,124
1724,513,923
1725,500,285
1726,28,94
1727,178,34
1728,606,507
1729,852,875
1730,115,520
1731,326,354
1732,564,432
1733,134,104
1734,870,971
1735,908,54
1736,170,466
1737,951,729
1738,632,801
1739,728,678
1740,594,688
1741,6,789
1742,424,619
1743,274,131
1744,849,137
1745,706,617
1746,797,944
1747,673,299
1748,530,546
1749,858,349
1750,858,473
1751,837,518
1752,29,4
1753,269,270
1754,708,193
1755,354,397
1756,747,907
1757,300,823
1758,651,387
1759,251,874
1760,733,415
1761,456,228
1762,851,491
1763,801,334
1764,374,709
1765,885,287
1766,946,325
1767,140,438
1768,319,478
1769,546,817
1770,287,65
1771,695,591
1772,699,279
1773,723,358
1774,386,177
1775,272,616
1776,178,36
1777,985,112
1778,848,410
1779,738,51
1780,184,53
1781,262,623
1782,707,678
1783,988,850
1784,960,969
1785,554,916
1786,956,768
1787,594,281
1788,411,810
1789,122,97
1790,907,972
1791,309,613
1792,322,526
1793,905,152
1794,822,712
1795,15,405
1796,132,727
1797,359,881
1798,877,462
1799,41,303
1800,487,409
1801,114,932
1802,385,925
1803,612,129
1804,932,879
1805,375,402
1806,104,312
1807,200,303
1808,729,114
1809,543,813
1810,268,427
1811,273,359
1812,224,504
1813,223,414
1814,91,703
1815,775,499
1816,612,277
1817,156,944
1818,638,675
1819,67,879
1820,187,319
1821,715,249
1822,960,378
1823,177,76
1824,316,73
1825,1001,927
1826,809,563
1827,160,543
1828,958,246
1829,370,145
1830,328,548
1831,921,340
1832,937,855
1833,772,999
1834,98,444
1835,662,978
1836,661,363
1837,901,180
1838,534,83
1839,194,552
1840,144,355
1841,380,269
1842,209,721
1843,304,138
1844,828,642
1845,814,758
1846,238,474
1847,118,391
1848,58,100
1849,406,855
1850,345,202
1851,926,8
1852,965,386
1853,854,712
1854,960,830
1855,141,570
1856,162,26
1857,311,459
1858,911,720
1859,869,921
1860,227,314
1861,255,123
1862,148,290
1863,221,441
1864,284,612
1865,83,23
1866,996,675
1867,541,366
1868,741,938
1869,728,457
1870,648,597
1871,879,427
1872,587,810
1873,496,259
1874,729,863
1875,55,970
1876,506,380
1877,846,837
1878,680,570
1879,969,309
1880,499,692
1881,611,730
1882,751,972
1883,165,846
1884,706,93
1885,904,412
1886,710,448
1887,306,359
1888,85,462
1889,514,241
1890,746,985
1891,497,548
1892,126,870
1893,316,210
1894,713,863
1895,397,902
1896,688,721
1897,10,739
1898,254,948
1899,29,973
1900,361,52
1901,256,529
1902,378,490
1903,73,216
1904,839,623
1905,902,775
1906,104,1001
1907,379,428
1908,224,951
1909,872,794
1910,987,285
1911,893,6
1912,345,428
1913,483,585
1914,685,231
1915,185,70
1916,163,597
1917,672,123
1918,194,529
1919,2,149
1920,258,80
1921,525,79
1922,89,191
1923,292,885
1924,926,754
1925,157,353
1926,642,238
1927,285,534
1928,57,422
1929,824,303
1930,952,197
1931,626,533
1932,693,871
1933,220,312
1934,671,576
1935,401,292
1936,134,341
1937,608,295
1938,355,245
1939,417,578
1940,246,759
1941,427,728
1942,959,815
1943,698,98
1944,898,4
1945,846,104
1946,579,132
1947,930,74
1948,30,887
1949,694,313
1950,47,417
1951,861,423
1952,930,572
1953,109,663
1954,958,379
1955,263,477
1956,892,632
1957,259,891
1958,741,43
1959,667,537
1960,107,22
1961,68,525
1962,816,526
1963,331,480
1964,603,762
1965,420,89
1966,493,75
1967,146,276
1968,252,730
1969,115,85
1970,227,337
1971,219,771
1972,397,614
1973,366,898
1974,71,917
1975,723,977
1976,243,77
1977,801,544
1978,503,24
1979,902,999
1980,777,140
1981,522,815
1982,636,374
1983,478,741
1984,370,196
1985,67,862
1986,80,984
1987,781,936
1988,784,683
1989,860,571
1990,978,581
1991,11,154
1992,415,433
1993,532,830
1994,456,272
1995,327,760
1996,858,341
1997,735,875
1998,220,424
1999,573,99
2000,373,706
2001,99,162
2002,856,87
2003,77,512
2004,158,196
2005,915,450
2006,684,223
2007,482,251
2008,672,329
2009,836,468
2010,254,768
2011,371,565
2012,121,804
2013,215,133
2014,118,422
2015,496,797
2016,293,440
2017,761,803
2018,410,565
2019,156,162
2020,131,984
2021,126,1004
2022,866,584
2023,720,561
2024,589,264
2025,647,256
2026,645,942
2027,807,606
2028,749,214
2029,930,241
2030,79,380
2031,107,281
2032,636,786
2033,555,444
2034,772,559
2035,177,979
2036,834,991
2037,390,181
2038,439,113
2039,185,744
2040,364,252
2041,79,735
2042,723,266
2043,581,87
2044,982,528
2045,232,41
2046,402,411
2047,474,233
2048,937,105
2049,197,586
2050,841,254
2051,286,130
2052,885,280
2053,158,554
2054,7,789
2055,947,53
2056,485,753
2057,78,174
2058,164,314
2059,594,849
2060,844,825
2061,518,499
2062,370,199
2063,342,515
2064,912,9
2065,80,810
2066,72,713
2067,417,857
2068,69,698
2069,911,128
2070,669,253
2071,647,989
2072,666,222
2073,470,148
2074,265,459
2075,387,740
2076,91,813
2077,626,455
2078,30,606
2079,957,562
2080,518,313
2081,112,482
2082,534,882
2083,863,536
2084,128,459
2085,937,909
2086,414,13
2087,615,410
2088,110,16
2089,604,770
2090,684,697
2091,305,966
2092,975,584
2093,937,715
2094,614,179
2095,478,631
2096,946,430
2097,875,63
2098,379,600
2099,578,600
2100,60,294
2101,292,849
2102,470,23
2103,360,222
2104,102,960
2105,393,928
2106,825,100
2107,280,239
2108,182,948
2109,151,675
2110,406,818
2111,735,517
2112,33,284
2113,948,245
2114,92,879
2115,289,0
2116,271,223
2117,115,8
2118,786,13
2119,501,860
2120,943,265
2121,109,523
2122,628,911
2123,158,177
2124,577,185
2125,63,573
2126,800,452
2127,567,768
2128,941,285
2129,58,798
2130,67,370
2131,801,268
2132,138,384
2133,394,388
2134,949,208
2135,700,234
2136,700,98
